"";"Coluna1";"ValorTotal"
"1";"Bebidas";133633,93
"2";"Carnes";146846,53
"3";"Cereais";18951,49
"4";"Doces";33968,48
"5";"Farinhas e massas";27225,32
"6";"Frutas";32060,12
"7";"Laticínios";74302,8
"8";"Legumes";37150,87
"9";"Leguminosas";3383,83
"10";"Molhos e condimentos";3661,7
"11";"Oleaginosas (castanhas, nozes, amendoins)";1863,86
"12";"Óleos e gorduras";41992,85
"13";"Ovos";14050,41
"14";"Panificados";97131,07
"15";"Pizzas, salgados e sanduíches";18086,19
"16";"Preparações mistas";214,04
"17";"Raízes e tubérculos";16010,72
"18";"Sopas e caldos";161,84
"19";"Suplementos";604,1
"20";"Verduras";8568,97
"21";NA;919881,59
