"";"Coluna1";"ValorTotal"
"1";"Bebidas";143829,71
"2";"Carnes";154889,18
"3";"Cereais";30028,87
"4";"Doces";39043,64
"5";"Farinhas e massas";17732,86
"6";"Frutas";28217,29
"7";"Laticínios";62428,41
"8";"Legumes";34355,23
"9";"Leguminosas";2668,48
"10";"Molhos e condimentos";4858,71
"11";"Oleaginosas (castanhas, nozes, amendoins)";3095,97
"12";"Óleos e gorduras";30931,46
"13";"Ovos";9322,61
"14";"Panificados";87530,63
"15";"Pizzas, salgados e sanduíches";21516,07
"16";"Preparações mistas";290,49
"17";"Raízes e tubérculos";16102,26
"18";"Sopas e caldos";340,41
"19";"Suplementos";302,67
"20";"Verduras";8976,28
"21";NA;816135,33
