"";"Coluna1";"ValorTotal"
"1";"Bebidas";260379,07
"2";"Carnes";595399,37
"3";"Cereais";147158,62
"4";"Doces";119773,03
"5";"Farinhas e massas";80990,51
"6";"Frutas";133620,53
"7";"Laticínios";255505,7
"8";"Legumes";153407
"9";"Leguminosas";13254,29
"10";"Molhos e condimentos";14092,41
"11";"Oleaginosas (castanhas, nozes, amendoins)";14905,26
"12";"Óleos e gorduras";117955,58
"13";"Ovos";43632,79
"14";"Panificados";377765,87
"15";"Pizzas, salgados e sanduíches";53840,91
"16";"Preparações mistas";626,25
"17";"Raízes e tubérculos";73246,9
"18";"Sopas e caldos";871,47
"19";"Suplementos";1256,85
"20";"Verduras";41796,49
"21";NA;3593418,24
